Satisfied,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Seat_Comfort,Catering,Cleanliness,Online_Support,Onboard_Service,Travel_Distance(km),delay(seconds),num_sat,ID
no,F,18,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Good,259,128,0,98817173
no,M,56,Upper Age,loyal,pers,premium,Poor,Good,Good,Poor,Acceptable,216,0,0,98817175
yes,M,22,Young Adult,infrequent,biz,premium,Good,Good,Good,Poor,Good,105,0,1,98817177
yes,F,27,Young Adult,loyal,pers,regular,Good,Good,Good,Poor,Good,155,0,1,98817178
yes,F,56,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,61,0,1,98817179
yes,F,43,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,175,6,1,98817180
yes,M,43,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,217,12,1,98817181
no,F,47,Upper Age,infrequent,biz,regular,Acceptable,Acceptable,Poor,Poor,Good,146,25,0,98817182
yes,M,23,Young Adult,loyal,biz,regular,Poor,Poor,Acceptable,Acceptable,Good,204,14,1,98817183
yes,F,41,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,247,0,1,98817184
no,M,59,Upper Age,loyal,biz,premium,Poor,Poor,Poor,Good,Poor,168,8,0,98817189
no,M,35,Middle,loyal,pers,premium,Poor,Poor,Good,Poor,Poor,136,8,0,98817190
no,F,25,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Good,111,0,0,98817192
no,M,50,Upper Age,loyal,pers,premium,Good,Good,Acceptable,Good,Acceptable,203,35,0,98817193
yes,M,21,Young Adult,infrequent,biz,premium,Poor,Poor,Poor,Acceptable,Good,174,0,1,98817196
yes,M,32,Middle,loyal,biz,premium,Good,Good,Good,Acceptable,Good,491,0,1,98817197
yes,F,50,Upper Age,loyal,biz,premium,Poor,Poor,Poor,Acceptable,Poor,251,0,1,98817202
yes,M,61,Elder,loyal,biz,regular,Poor,Poor,Good,Good,Good,158,12,1,98817205
yes,F,52,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,218,0,1,98817206
no,F,38,Middle,infrequent,biz,regular,Poor,Poor,Acceptable,Acceptable,Good,134,7,0,98817207
no,F,62,Elder,loyal,biz,regular,Poor,Acceptable,Poor,Acceptable,Poor,259,0,0,98817208
yes,F,47,Upper Age,loyal,biz,regular,Good,Good,Poor,Good,Poor,311,0,1,98817209
no,M,26,Young Adult,infrequent,biz,premium,Acceptable,Good,Acceptable,Acceptable,Poor,184,85,0,98817210
yes,M,35,Middle,loyal,biz,premium,Good,Poor,Good,Good,Acceptable,184,0,1,98817214
yes,M,47,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,359,3,1,98817215
yes,F,52,Upper Age,loyal,pers,regular,Poor,Poor,Good,Good,Good,135,0,1,98817217
no,F,26,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Acceptable,250,0,0,98817218
yes,M,52,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,239,0,1,98817219
no,M,45,Middle,infrequent,biz,regular,Acceptable,Acceptable,Poor,Good,Acceptable,165,0,0,98817222
no,F,43,Middle,loyal,pers,regular,Acceptable,Acceptable,Poor,Poor,Poor,52,0,0,98817223
yes,M,52,Upper Age,loyal,pers,regular,Poor,Poor,Good,Good,Acceptable,221,9,1,98817224
no,F,28,Young Adult,loyal,biz,premium,Acceptable,Good,Acceptable,Acceptable,Poor,245,27,0,98817226
yes,M,37,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,155,34,1,98817228
no,M,25,Young Adult,loyal,pers,premium,Poor,Poor,Acceptable,Acceptable,Poor,238,0,0,98817229
yes,M,27,Young Adult,loyal,pers,premium,Good,Good,Good,Poor,Acceptable,154,0,1,98817230
yes,F,69,Elder,loyal,pers,premium,Good,Good,Acceptable,Poor,Acceptable,61,0,1,98817232
yes,M,38,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,64,69,1,98817233
no,F,38,Middle,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Poor,233,0,0,98817234
no,M,36,Middle,infrequent,biz,regular,Acceptable,Acceptable,Good,Poor,Acceptable,190,0,0,98817236
yes,F,39,Middle,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Good,192,14,1,98817237
no,F,27,Young Adult,loyal,biz,premium,Acceptable,Acceptable,Good,Acceptable,Poor,224,0,0,98817238
yes,M,35,Middle,loyal,biz,premium,Good,Acceptable,Good,Good,Poor,140,0,1,98817240
no,F,43,Middle,infrequent,biz,regular,Poor,Poor,Poor,Poor,Good,230,7,0,98817241
yes,M,44,Middle,loyal,biz,premium,Good,Acceptable,Good,Good,Good,87,0,1,98817243
no,M,46,Upper Age,loyal,biz,premium,Poor,Acceptable,Acceptable,Poor,Poor,152,19,0,98817244
no,F,38,Middle,loyal,biz,regular,Poor,Good,Acceptable,Good,Acceptable,368,0,0,98817245
yes,M,58,Upper Age,infrequent,biz,regular,Poor,Poor,Poor,Good,Acceptable,189,0,1,98817247
yes,F,46,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,356,4,1,98817249
no,M,46,Upper Age,loyal,pers,premium,Poor,Poor,Good,Poor,Good,181,33,0,98817251
yes,F,22,Young Adult,loyal,biz,premium,Good,Good,Acceptable,Good,Good,403,0,1,98817254
yes,M,36,Middle,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,113,30,1,98817255
yes,M,53,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,310,85,1,98817258
no,M,51,Upper Age,loyal,pers,premium,Poor,Poor,Poor,Acceptable,Good,209,0,0,98817260
yes,F,58,Upper Age,loyal,pers,regular,Good,Good,Good,Good,Good,67,0,1,98817263
yes,F,57,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,386,0,1,98817265
no,F,19,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Poor,Poor,235,0,0,98817266
yes,M,30,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,461,102,1,98817268
yes,M,41,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,367,0,1,98817269
yes,F,54,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,224,39,1,98817270
yes,F,53,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,348,0,1,98817271
no,M,22,Young Adult,loyal,pers,premium,Acceptable,Good,Good,Acceptable,Acceptable,120,3,0,98817272
no,M,21,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Poor,Good,239,0,0,98817273
yes,F,49,Upper Age,loyal,biz,premium,Acceptable,Good,Good,Good,Good,172,45,1,98817274
yes,M,57,Upper Age,loyal,biz,premium,Good,Good,Good,Poor,Good,201,0,1,98817275
no,M,39,Middle,loyal,pers,premium,Poor,Poor,Poor,Poor,Poor,264,14,0,98817276
no,M,39,Middle,infrequent,biz,premium,Poor,Poor,Good,Poor,Good,162,0,0,98817277
no,F,37,Middle,loyal,biz,regular,Poor,Acceptable,Poor,Acceptable,Poor,298,28,0,98817278
no,M,49,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Acceptable,Good,Acceptable,236,0,0,98817279
no,M,43,Middle,loyal,biz,regular,Poor,Poor,Poor,Good,Poor,392,7,0,98817280
no,F,24,Young Adult,infrequent,biz,premium,Good,Good,Good,Acceptable,Acceptable,164,187,0,98817281
no,M,71,Elder,loyal,biz,premium,Poor,Poor,Poor,Good,Poor,310,203,0,98817282
no,F,18,Young Adult,infrequent,biz,premium,Poor,Poor,Acceptable,Poor,Good,210,102,0,98817284
yes,F,48,Upper Age,loyal,biz,regular,Good,Acceptable,Good,Good,Good,232,0,1,98817286
yes,M,31,Middle,loyal,biz,premium,Good,Good,Good,Acceptable,Good,355,10,1,98817288
yes,M,64,Elder,loyal,pers,regular,Good,Acceptable,Good,Acceptable,Acceptable,273,0,1,98817291
yes,M,36,Middle,loyal,biz,premium,Good,Poor,Good,Good,Good,182,108,1,98817296
no,F,33,Middle,loyal,pers,regular,Good,Good,Acceptable,Good,Good,247,99,0,98817301
no,F,37,Middle,loyal,biz,premium,Acceptable,Poor,Acceptable,Acceptable,Good,166,162,0,98817302
yes,F,40,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,84,0,1,98817303
yes,F,33,Middle,loyal,biz,premium,Good,Acceptable,Poor,Good,Poor,212,88,1,98817304
no,M,48,Upper Age,loyal,pers,premium,Good,Good,Good,Poor,Good,201,0,0,98817306
no,F,22,Young Adult,infrequent,biz,regular,Poor,Acceptable,Good,Acceptable,Good,216,0,0,98817308
no,M,42,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Poor,142,0,0,98817311
yes,F,21,Young Adult,loyal,pers,regular,Good,Good,Good,Good,Acceptable,139,0,1,98817315
yes,M,41,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,252,0,1,98817316
no,F,25,Young Adult,infrequent,biz,premium,Acceptable,Good,Good,Acceptable,Good,199,110,0,98817320
yes,F,57,Upper Age,loyal,pers,premium,Poor,Poor,Good,Good,Good,53,0,1,98817322
yes,M,43,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,246,0,1,98817323
no,M,33,Middle,loyal,biz,premium,Poor,Good,Good,Poor,Good,289,0,0,98817324
no,M,19,Young Adult,loyal,biz,regular,Poor,Poor,Poor,Poor,Acceptable,316,0,0,98817325
yes,M,43,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,139,48,1,98817326
yes,F,40,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,56,0,1,98817328
yes,F,49,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,300,6,1,98817331
yes,F,59,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,62,38,1,98817333
no,F,24,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Good,Poor,Poor,218,37,0,98817336
yes,F,47,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,324,60,1,98817337
no,M,39,Middle,loyal,pers,premium,Poor,Poor,Acceptable,Poor,Good,223,0,0,98817338
no,M,22,Young Adult,infrequent,biz,premium,Good,Acceptable,Good,Good,Poor,140,0,0,98817339
yes,M,53,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,237,22,1,98817340
no,M,41,Middle,loyal,biz,regular,Acceptable,Poor,Acceptable,Acceptable,Poor,269,112,0,98817342
yes,M,34,Middle,loyal,biz,regular,Good,Good,Good,Poor,Good,379,155,1,98817347
no,F,58,Upper Age,infrequent,biz,premium,Good,Good,Good,Acceptable,Good,166,63,0,98817348
no,M,50,Upper Age,infrequent,biz,premium,Poor,Poor,Good,Good,Acceptable,305,29,0,98817349
yes,F,31,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,514,0,1,98817351
yes,F,31,Middle,loyal,pers,regular,Good,Good,Poor,Good,Good,144,42,1,98817353
no,M,62,Elder,loyal,pers,regular,Poor,Poor,Good,Good,Good,152,133,0,98817354
no,M,63,Elder,loyal,pers,premium,Poor,Poor,Good,Acceptable,Acceptable,182,2,0,98817355
no,M,64,Elder,loyal,pers,regular,Acceptable,Acceptable,Acceptable,Poor,Good,186,0,0,98817358
yes,M,42,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,301,0,1,98817360
yes,F,65,Elder,loyal,pers,premium,Good,Good,Good,Good,Good,56,0,1,98817368
yes,F,43,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,131,0,1,98817371
yes,M,40,Middle,loyal,biz,premium,Acceptable,Good,Poor,Acceptable,Good,190,0,1,98817373
yes,F,24,Young Adult,loyal,pers,premium,Good,Acceptable,Good,Good,Good,264,1,1,98817376
yes,F,59,Upper Age,loyal,pers,premium,Good,Good,Good,Good,Good,191,4,1,98817377
yes,M,51,Upper Age,loyal,biz,regular,Good,Good,Good,Poor,Good,193,86,1,98817379
yes,F,67,Elder,loyal,pers,premium,Poor,Poor,Good,Good,Good,147,0,1,98817392
yes,M,58,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,278,0,1,98817394
no,M,27,Young Adult,infrequent,biz,premium,Acceptable,Poor,Good,Acceptable,Acceptable,179,52,0,98817397
no,M,38,Middle,infrequent,biz,regular,Acceptable,Acceptable,Good,Poor,Good,310,27,0,98817398
yes,F,43,Middle,loyal,biz,premium,Acceptable,Poor,Good,Good,Good,84,20,1,98817399
yes,F,46,Upper Age,loyal,biz,premium,Good,Acceptable,Good,Poor,Good,249,0,1,98817400
yes,M,40,Middle,loyal,biz,premium,Acceptable,Acceptable,Acceptable,Good,Acceptable,110,0,1,98817405
yes,M,44,Middle,loyal,biz,regular,Good,Good,Acceptable,Good,Good,218,28,1,98817407
yes,F,19,Young Adult,infrequent,biz,regular,Good,Good,Good,Poor,Good,199,23,1,98817411
no,M,63,Elder,loyal,biz,regular,Good,Good,Acceptable,Good,Acceptable,180,0,0,98817413
no,F,24,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Poor,Poor,165,65,0,98817415
yes,F,59,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,53,0,1,98817416
yes,M,47,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,102,12,1,98817417
no,M,25,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Acceptable,Poor,Poor,239,26,0,98817420
no,M,24,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Acceptable,Good,Acceptable,267,2,0,98817424
yes,M,43,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,179,0,1,98817428
no,F,54,Upper Age,loyal,biz,regular,Poor,Poor,Poor,Acceptable,Poor,333,0,0,98817431
yes,F,55,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,211,104,1,98817435
no,M,47,Upper Age,loyal,pers,regular,Acceptable,Acceptable,Good,Acceptable,Poor,169,83,0,98817437
yes,M,54,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Acceptable,Good,Acceptable,166,0,1,98817440
yes,F,24,Young Adult,loyal,pers,regular,Good,Good,Poor,Good,Poor,191,128,1,98817441
yes,F,20,Young Adult,loyal,biz,premium,Good,Good,Poor,Good,Good,420,0,1,98817442
yes,F,29,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Good,146,0,1,98817443
yes,F,35,Middle,loyal,pers,regular,Poor,Poor,Poor,Good,Poor,309,0,1,98817444
yes,M,57,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,245,2,1,98817445
yes,F,57,Upper Age,loyal,biz,premium,Poor,Poor,Acceptable,Good,Acceptable,197,0,1,98817450
yes,F,50,Upper Age,loyal,pers,premium,Acceptable,Poor,Acceptable,Poor,Acceptable,250,24,1,98817451
yes,M,28,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Good,187,0,1,98817452
yes,M,38,Middle,infrequent,biz,regular,Good,Good,Good,Good,Acceptable,240,13,1,98817455
yes,F,67,Elder,loyal,pers,regular,Acceptable,Good,Good,Poor,Good,210,0,1,98817457
yes,F,37,Middle,loyal,biz,regular,Good,Poor,Good,Good,Poor,184,19,1,98817460
yes,F,25,Young Adult,infrequent,biz,regular,Good,Good,Good,Acceptable,Acceptable,181,0,1,98817461
no,M,28,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Good,Good,295,0,0,98817462
no,M,52,Upper Age,loyal,pers,premium,Poor,Poor,Good,Poor,Good,202,0,0,98817465
yes,F,48,Upper Age,loyal,biz,regular,Good,Poor,Good,Good,Good,190,95,1,98817467
yes,F,54,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,397,0,1,98817471
yes,M,44,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,261,0,1,98817473
no,M,46,Upper Age,loyal,pers,regular,Acceptable,Good,Acceptable,Good,Poor,201,0,0,98817474
yes,F,43,Middle,loyal,biz,premium,Acceptable,Poor,Acceptable,Acceptable,Acceptable,88,5,1,98817476
no,M,27,Young Adult,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Poor,201,0,0,98817479
no,M,57,Upper Age,infrequent,biz,premium,Poor,Poor,Acceptable,Good,Poor,226,207,0,98817483
yes,F,49,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,333,0,1,98817485
yes,M,55,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,309,0,1,98817486
yes,F,25,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Good,258,0,1,98817488
yes,M,51,Upper Age,loyal,biz,regular,Good,Poor,Good,Good,Good,241,0,1,98817494
no,M,49,Upper Age,loyal,pers,regular,Acceptable,Good,Good,Poor,Good,207,0,0,98817495
yes,F,38,Middle,loyal,biz,premium,Good,Good,Good,Good,Poor,145,11,1,98817497
yes,M,28,Young Adult,loyal,biz,premium,Poor,Poor,Good,Good,Good,264,0,1,98817498
no,M,30,Middle,loyal,biz,premium,Good,Poor,Poor,Good,Poor,269,153,0,98817504
yes,M,34,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,171,0,1,98817506
no,M,23,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Good,220,1,0,98817507
no,M,51,Upper Age,loyal,pers,premium,Good,Good,Good,Good,Good,196,35,0,98817510
no,M,37,Middle,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Good,188,7,0,98817511
yes,F,27,Young Adult,loyal,biz,premium,Good,Acceptable,Poor,Good,Poor,152,5,1,98817512
yes,F,48,Upper Age,loyal,biz,regular,Good,Good,Poor,Good,Poor,237,144,1,98817514
yes,F,48,Upper Age,loyal,biz,regular,Good,Good,Poor,Good,Poor,240,2,1,98817515
no,F,51,Upper Age,infrequent,biz,regular,Good,Good,Good,Poor,Poor,201,68,0,98817517
yes,M,46,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,280,11,1,98817519
no,M,68,Elder,loyal,pers,regular,Poor,Poor,Poor,Poor,Poor,179,21,0,98817523
no,M,34,Middle,loyal,pers,regular,Acceptable,Acceptable,Good,Good,Acceptable,168,24,0,98817524
yes,F,48,Upper Age,loyal,pers,premium,Poor,Poor,Good,Good,Acceptable,262,227,1,98817525
no,F,37,Middle,loyal,biz,regular,Poor,Good,Poor,Good,Poor,205,0,0,98817527
no,F,34,Middle,infrequent,biz,regular,Good,Good,Poor,Good,Good,108,0,0,98817531
no,M,60,Elder,loyal,biz,regular,Poor,Good,Poor,Poor,Poor,87,0,0,98817533
no,F,38,Middle,loyal,biz,premium,Poor,Poor,Poor,Acceptable,Poor,65,0,0,98817534
yes,F,53,Upper Age,loyal,biz,premium,Good,Good,Good,Poor,Good,234,2,1,98817535
no,M,35,Middle,loyal,pers,premium,Acceptable,Acceptable,Acceptable,Poor,Poor,194,128,0,98817536
yes,F,68,Elder,loyal,pers,premium,Good,Good,Acceptable,Acceptable,Acceptable,258,0,1,98817537
no,M,45,Middle,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Poor,195,0,0,98817538
yes,F,61,Elder,loyal,pers,regular,Good,Good,Good,Good,Good,103,3,1,98817539
no,M,22,Young Adult,loyal,pers,regular,Poor,Poor,Good,Acceptable,Good,186,0,0,98817540
yes,F,31,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,224,91,1,98817541
yes,M,48,Upper Age,loyal,biz,premium,Good,Poor,Good,Good,Poor,142,21,1,98817543
no,M,44,Middle,loyal,biz,premium,Good,Poor,Poor,Acceptable,Poor,290,9,0,98817545
yes,M,38,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,202,12,1,98817547
yes,F,35,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Poor,Good,203,92,1,98817550
yes,M,48,Upper Age,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Acceptable,191,9,1,98817552
no,M,62,Elder,loyal,pers,regular,Acceptable,Acceptable,Acceptable,Poor,Good,130,7,0,98817554
no,M,50,Upper Age,loyal,biz,premium,Acceptable,Poor,Acceptable,Poor,Acceptable,402,9,0,98817556
yes,F,50,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,67,4,1,98817557
yes,F,31,Middle,loyal,pers,premium,Good,Good,Good,Good,Poor,220,0,1,98817559
no,M,62,Elder,loyal,biz,regular,Poor,Acceptable,Good,Good,Good,242,0,0,98817561
yes,M,40,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,269,4,1,98817562
yes,M,59,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Acceptable,Good,Acceptable,111,0,1,98817563
yes,F,47,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,69,0,1,98817566
no,M,65,Elder,loyal,pers,premium,Poor,Poor,Acceptable,Poor,Good,292,23,0,98817568
yes,M,45,Middle,loyal,biz,regular,Good,Good,Good,Poor,Good,165,0,1,98817569
no,F,43,Middle,loyal,biz,premium,Poor,Poor,Poor,Acceptable,Poor,353,224,0,98817571
yes,F,24,Young Adult,loyal,pers,premium,Good,Poor,Poor,Good,Poor,201,1,1,98817574
no,M,69,Elder,loyal,pers,regular,Good,Poor,Good,Poor,Acceptable,152,26,0,98817576
yes,M,61,Elder,loyal,biz,premium,Good,Poor,Good,Good,Poor,119,0,1,98817577
no,F,26,Young Adult,loyal,biz,premium,Poor,Poor,Poor,Poor,Good,433,16,0,98817579
yes,M,47,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,250,1,1,98817580
no,M,44,Middle,loyal,biz,regular,Acceptable,Good,Acceptable,Acceptable,Acceptable,194,0,0,98817581
no,F,28,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Good,151,4,0,98817582
no,M,38,Middle,infrequent,biz,premium,Poor,Poor,Good,Poor,Acceptable,172,124,0,98817584
no,F,26,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,177,66,0,98817586
no,M,30,Middle,infrequent,biz,premium,Poor,Poor,Good,Good,Good,217,0,0,98817588
yes,F,24,Young Adult,loyal,biz,premium,Acceptable,Acceptable,Poor,Good,Good,503,0,1,98817589
yes,F,24,Young Adult,loyal,biz,premium,Poor,Poor,Acceptable,Good,Good,312,0,1,98817590
yes,F,55,Upper Age,loyal,biz,premium,Good,Good,Good,Poor,Good,295,14,1,98817591
no,M,29,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Good,225,2,0,98817593
yes,F,52,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,390,70,1,98817594
no,M,65,Elder,loyal,pers,regular,Poor,Poor,Acceptable,Acceptable,Poor,218,3,0,98817599
yes,F,33,Middle,loyal,biz,regular,Poor,Poor,Poor,Good,Good,149,13,1,98817600
yes,M,25,Young Adult,infrequent,biz,premium,Poor,Acceptable,Good,Poor,Good,202,81,1,98817601
no,F,59,Upper Age,loyal,biz,regular,Poor,Acceptable,Poor,Acceptable,Poor,389,0,0,98817604
yes,F,39,Middle,loyal,pers,premium,Poor,Poor,Poor,Good,Poor,163,7,1,98817606
no,M,31,Middle,loyal,biz,regular,Good,Good,Poor,Good,Poor,174,0,0,98817607
yes,F,42,Middle,loyal,biz,premium,Poor,Poor,Good,Acceptable,Good,204,0,1,98817609
yes,M,59,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,186,7,1,98817612
yes,F,46,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,180,2,1,98817613
no,M,24,Young Adult,infrequent,biz,regular,Poor,Poor,Poor,Poor,Poor,233,0,0,98817614
yes,F,34,Middle,loyal,pers,regular,Good,Good,Good,Good,Good,178,0,1,98817618
yes,F,38,Middle,infrequent,biz,premium,Good,Good,Good,Poor,Good,171,41,1,98817625
yes,F,49,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,395,0,1,98817626
yes,F,50,Upper Age,loyal,pers,regular,Good,Good,Good,Good,Good,129,0,1,98817627
yes,F,44,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,392,29,1,98817628
no,M,26,Young Adult,infrequent,biz,regular,Poor,Poor,Acceptable,Poor,Poor,164,6,0,98817632
no,F,60,Elder,loyal,biz,premium,Poor,Good,Poor,Poor,Poor,260,0,0,98817633
yes,F,29,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Good,183,0,1,98817636
no,F,31,Middle,loyal,pers,premium,Good,Good,Good,Poor,Good,134,67,0,98817637
yes,M,58,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,172,0,1,98817639
no,M,44,Middle,loyal,biz,regular,Poor,Good,Poor,Acceptable,Poor,346,112,0,98817640
no,F,23,Young Adult,loyal,biz,premium,Good,Good,Acceptable,Good,Good,419,26,0,98817641
no,F,38,Middle,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Poor,131,1,0,98817642
yes,F,44,Middle,loyal,biz,regular,Good,Good,Good,Poor,Good,226,0,1,98817643
yes,F,41,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,396,5,1,98817646
yes,M,29,Young Adult,infrequent,biz,regular,Good,Good,Good,Good,Acceptable,180,4,1,98817647
no,M,25,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Acceptable,Acceptable,147,119,0,98817655
yes,M,22,Young Adult,loyal,biz,premium,Poor,Poor,Acceptable,Good,Poor,175,0,1,98817659
yes,F,28,Young Adult,loyal,biz,regular,Good,Poor,Good,Good,Poor,155,0,1,98817660
no,M,49,Upper Age,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Good,192,182,0,98817662
no,F,49,Upper Age,infrequent,biz,premium,Poor,Poor,Acceptable,Good,Poor,175,13,0,98817663
yes,F,27,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Acceptable,Acceptable,349,0,1,98817664
no,F,52,Upper Age,loyal,biz,premium,Poor,Poor,Poor,Good,Poor,144,135,0,98817666
no,M,44,Middle,loyal,biz,premium,Poor,Acceptable,Poor,Acceptable,Poor,328,171,0,98817667
no,F,60,Elder,loyal,pers,premium,Good,Good,Good,Good,Good,100,0,0,98817669
no,M,34,Middle,infrequent,biz,regular,Acceptable,Acceptable,Acceptable,Poor,Poor,163,9,0,98817671
yes,F,69,Elder,loyal,pers,premium,Poor,Poor,Good,Good,Good,87,0,1,98817673
yes,F,24,Young Adult,loyal,pers,regular,Good,Good,Good,Good,Good,191,0,1,98817674
yes,M,41,Middle,loyal,biz,regular,Poor,Poor,Acceptable,Poor,Acceptable,52,0,1,98817675
yes,F,27,Young Adult,loyal,pers,premium,Good,Good,Good,Acceptable,Poor,150,0,1,98817676
no,M,42,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Good,129,4,0,98817681
yes,F,21,Young Adult,infrequent,biz,regular,Good,Good,Good,Poor,Good,218,7,1,98817682
no,F,36,Middle,infrequent,biz,premium,Poor,Poor,Good,Good,Acceptable,293,17,0,98817683
no,M,22,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Poor,Poor,Poor,150,83,0,98817686
yes,M,31,Middle,loyal,biz,regular,Poor,Good,Good,Good,Good,178,1,1,98817689
no,M,23,Young Adult,loyal,biz,regular,Poor,Poor,Acceptable,Poor,Good,308,0,0,98817692
yes,F,36,Middle,loyal,biz,premium,Poor,Poor,Acceptable,Good,Poor,341,10,1,98817693
yes,F,24,Young Adult,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Good,368,139,1,98817694
yes,F,54,Upper Age,loyal,biz,premium,Good,Poor,Good,Good,Good,376,63,1,98817695
yes,F,52,Upper Age,loyal,biz,regular,Good,Good,Acceptable,Good,Acceptable,67,0,1,98817698
yes,F,34,Middle,loyal,biz,premium,Good,Good,Good,Poor,Good,290,0,1,98817700
no,M,24,Young Adult,infrequent,biz,regular,Acceptable,Good,Good,Acceptable,Good,201,0,0,98817702
no,F,28,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Poor,146,1,0,98817704
