,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Travel_Distance(km),delay(seconds),ID
29030,F,56,Upper Age,loyal,biz,regular,155,7,98829031
29032,M,40,Middle,loyal,biz,regular,356,251,98829033
29036,F,53,Upper Age,loyal,biz,regular,62,10,98829037
29037,F,24,Young Adult,loyal,biz,premium,458,0,98829038
29040,M,57,Upper Age,infrequent,biz,regular,120,28,98829041
29042,F,51,Upper Age,loyal,biz,premium,399,100,98829043
29043,F,34,Middle,loyal,pers,regular,200,0,98829044
29044,F,41,Middle,loyal,biz,premium,199,0,98829045
29047,F,45,Middle,infrequent,biz,regular,201,0,98829048
29048,M,39,Middle,loyal,biz,regular,188,22,98829049
29049,M,61,Elder,loyal,pers,premium,156,58,98829050
29053,F,46,Upper Age,loyal,biz,premium,69,0,98829054
29057,F,21,Young Adult,infrequent,biz,premium,189,0,98829058
29059,M,66,Elder,loyal,pers,regular,324,2,98829060
29062,M,70,Elder,loyal,pers,regular,178,0,98829063
29063,M,62,Elder,loyal,pers,premium,189,7,98829064
29069,F,39,Middle,loyal,pers,premium,290,0,98829070
29072,M,30,Middle,infrequent,biz,premium,176,0,98829073
29074,M,53,Upper Age,loyal,pers,premium,203,0,98829075
29078,M,55,Upper Age,loyal,pers,premium,261,12,98829079
29079,M,46,Upper Age,loyal,biz,premium,252,0,98829080
29080,F,20,Young Adult,infrequent,biz,regular,161,0,98829081
29081,M,60,Elder,loyal,biz,premium,318,0,98829082
29084,F,67,Elder,loyal,pers,regular,116,158,98829085
29085,M,43,Middle,loyal,biz,premium,236,35,98829086
29090,F,50,Upper Age,loyal,biz,regular,216,3,98829091
29092,M,41,Middle,loyal,biz,regular,92,4,98829093
29093,F,34,Middle,loyal,biz,premium,198,0,98829094
29096,F,55,Upper Age,loyal,biz,regular,248,36,98829097
29098,M,26,Young Adult,loyal,biz,premium,238,15,98829099
29100,F,23,Young Adult,loyal,pers,premium,192,36,98829101
29103,M,39,Middle,loyal,biz,regular,207,32,98829104
29104,F,24,Young Adult,infrequent,biz,regular,170,20,98829105
29105,M,33,Middle,loyal,biz,premium,334,0,98829106
29106,M,47,Upper Age,loyal,biz,regular,264,7,98829107
29107,M,33,Middle,loyal,pers,regular,186,127,98829108
29110,M,31,Middle,loyal,biz,regular,200,0,98829111
29113,F,26,Young Adult,infrequent,biz,regular,181,0,98829114
29116,M,23,Young Adult,infrequent,biz,premium,256,133,98829117
29126,M,33,Middle,infrequent,biz,regular,247,20,98829127
29129,F,45,Middle,loyal,biz,premium,400,0,98829130
29132,F,69,Elder,loyal,biz,regular,89,150,98829133
29133,M,45,Middle,loyal,biz,premium,208,0,98829134
29134,F,61,Elder,loyal,biz,regular,296,56,98829135
29139,M,25,Young Adult,infrequent,biz,premium,247,0,98829140
29140,F,30,Middle,infrequent,biz,regular,155,0,98829141
29141,M,38,Middle,loyal,biz,regular,271,2,98829142
29142,M,46,Upper Age,loyal,biz,regular,168,0,98829143
29143,F,29,Young Adult,loyal,biz,premium,410,14,98829144
29144,M,38,Middle,infrequent,biz,regular,198,0,98829145
29147,F,71,Elder,loyal,biz,premium,76,20,98829148
29150,F,40,Middle,loyal,biz,premium,60,0,98829151
29155,M,68,Elder,loyal,pers,premium,198,22,98829156
29156,F,26,Young Adult,infrequent,biz,regular,102,0,98829157
29157,F,41,Middle,loyal,biz,premium,208,6,98829158
29160,M,44,Middle,loyal,biz,premium,230,69,98829161
29161,F,38,Middle,loyal,biz,regular,399,21,98829162
29162,F,24,Young Adult,infrequent,biz,premium,190,0,98829163
29164,F,22,Young Adult,loyal,pers,premium,224,181,98829165
29168,F,31,Middle,loyal,biz,regular,172,17,98829169
29171,F,35,Middle,loyal,biz,regular,178,52,98829172
29173,F,45,Middle,loyal,biz,regular,160,0,98829174
29174,M,58,Upper Age,loyal,biz,regular,155,3,98829175
29176,M,25,Young Adult,infrequent,biz,regular,253,24,98829177
29179,F,25,Young Adult,loyal,pers,regular,217,12,98829180
29181,F,47,Upper Age,loyal,biz,premium,253,0,98829182
29182,F,28,Young Adult,loyal,pers,regular,107,40,98829183
29185,F,22,Young Adult,infrequent,biz,regular,188,158,98829186
29186,F,36,Middle,infrequent,biz,premium,209,0,98829187
29187,M,51,Upper Age,loyal,biz,regular,198,0,98829188
29191,M,40,Middle,loyal,biz,premium,178,5,98829192
29192,M,41,Middle,loyal,biz,premium,292,0,98829193
29193,M,41,Middle,loyal,biz,premium,152,0,98829194
29195,F,36,Middle,loyal,biz,premium,154,55,98829196
29196,M,42,Middle,loyal,biz,premium,215,0,98829197
29197,M,55,Upper Age,loyal,biz,premium,168,0,98829198
29199,M,29,Young Adult,loyal,pers,premium,187,39,98829200
29200,F,58,Upper Age,loyal,biz,premium,164,197,98829201
29201,F,53,Upper Age,loyal,biz,regular,176,67,98829202
29207,F,61,Elder,loyal,pers,premium,75,0,98829208
29210,F,40,Middle,loyal,biz,premium,269,0,98829211
29211,M,24,Young Adult,loyal,pers,regular,257,0,98829212
29215,M,48,Upper Age,infrequent,biz,regular,219,25,98829216
29217,M,49,Upper Age,loyal,biz,regular,205,0,98829218
29218,F,49,Upper Age,loyal,pers,regular,54,0,98829219
29219,F,41,Middle,loyal,biz,regular,366,17,98829220
29220,F,49,Upper Age,loyal,biz,regular,194,0,98829221
29221,F,29,Young Adult,infrequent,biz,premium,163,19,98829222
29222,M,35,Middle,loyal,biz,premium,356,4,98829223
29223,M,50,Upper Age,loyal,biz,premium,122,46,98829224
29228,M,33,Middle,loyal,pers,regular,398,107,98829229
29230,M,41,Middle,loyal,biz,premium,271,0,98829231
29231,F,27,Young Adult,infrequent,biz,premium,185,0,98829232
29232,F,32,Middle,loyal,pers,regular,226,1,98829233
29239,F,20,Young Adult,infrequent,biz,premium,189,16,98829240
29241,F,25,Young Adult,loyal,pers,premium,304,72,98829242
29242,F,30,Middle,loyal,pers,premium,159,2,98829243
29243,M,43,Middle,loyal,pers,regular,132,0,98829244
29244,M,52,Upper Age,loyal,biz,premium,385,18,98829245
29245,F,29,Young Adult,loyal,pers,regular,400,32,98829246
29246,M,54,Upper Age,loyal,pers,premium,122,0,98829247
29247,M,62,Elder,loyal,pers,regular,192,8,98829248
29250,M,62,Elder,loyal,pers,premium,228,0,98829251
29251,M,35,Middle,loyal,biz,premium,125,0,98829252
29255,F,26,Young Adult,infrequent,biz,regular,197,0,98829256
29260,F,52,Upper Age,loyal,biz,premium,74,4,98829261
29261,F,52,Upper Age,loyal,biz,regular,151,16,98829262
29262,F,41,Middle,loyal,biz,regular,95,113,98829263
29264,M,54,Upper Age,loyal,biz,regular,249,0,98829265
29265,F,59,Upper Age,loyal,biz,premium,342,36,98829266
29267,M,22,Young Adult,infrequent,biz,regular,164,48,98829268
29270,M,42,Middle,loyal,biz,premium,148,80,98829271
29271,M,65,Elder,loyal,pers,regular,191,0,98829272
29272,F,47,Upper Age,loyal,biz,premium,118,152,98829273
29275,F,30,Middle,loyal,biz,premium,135,3,98829276
29276,F,59,Upper Age,loyal,biz,premium,64,0,98829277
29277,M,24,Young Adult,loyal,pers,premium,293,138,98829278
29279,F,46,Upper Age,infrequent,biz,regular,194,0,98829280
29283,M,38,Middle,infrequent,biz,premium,259,29,98829284
29286,F,43,Middle,loyal,biz,premium,149,6,98829287
29290,M,52,Upper Age,loyal,biz,regular,162,0,98829291
29295,F,56,Upper Age,loyal,biz,regular,391,59,98829296
29298,F,39,Middle,loyal,biz,premium,180,0,98829299
29299,M,37,Middle,infrequent,biz,regular,120,26,98829300
29304,M,22,Young Adult,infrequent,biz,premium,268,1,98829305
29305,F,34,Middle,infrequent,biz,premium,154,76,98829306
29306,M,57,Upper Age,loyal,biz,premium,89,0,98829307
29312,F,46,Upper Age,loyal,biz,regular,265,0,98829313
29313,M,47,Upper Age,loyal,pers,premium,199,0,98829314
29314,F,38,Middle,loyal,biz,premium,246,38,98829315
29317,M,41,Middle,loyal,biz,regular,328,0,98829318
29318,M,60,Elder,loyal,biz,premium,77,0,98829319
29322,F,31,Middle,loyal,biz,premium,391,0,98829323
29323,M,47,Upper Age,loyal,biz,regular,57,46,98829324
29324,M,52,Upper Age,loyal,pers,regular,270,0,98829325
29325,F,28,Young Adult,infrequent,biz,premium,186,5,98829326
29326,M,56,Upper Age,loyal,biz,regular,72,0,98829327
29328,F,20,Young Adult,infrequent,biz,premium,134,0,98829329
29331,M,38,Middle,loyal,biz,premium,126,140,98829332
29333,M,34,Middle,loyal,biz,premium,370,0,98829334
29336,M,54,Upper Age,loyal,biz,premium,93,0,98829337
29337,M,25,Young Adult,loyal,biz,regular,202,0,98829338
29339,F,28,Young Adult,loyal,pers,premium,177,74,98829340
29341,M,46,Upper Age,loyal,biz,premium,222,147,98829342
29345,M,57,Upper Age,loyal,biz,regular,234,0,98829346
29346,M,48,Upper Age,loyal,biz,premium,348,11,98829347
29349,F,51,Upper Age,loyal,biz,regular,151,98,98829350
29350,M,23,Young Adult,infrequent,biz,regular,141,0,98829351
29351,F,58,Upper Age,loyal,biz,premium,225,0,98829352
29352,F,36,Middle,loyal,pers,premium,183,0,98829353
29355,F,39,Middle,loyal,biz,regular,160,5,98829356
29358,M,30,Middle,loyal,pers,premium,235,5,98829359
29359,M,68,Elder,loyal,pers,premium,62,99,98829360
29360,F,26,Young Adult,loyal,pers,regular,120,105,98829361
29365,M,25,Young Adult,loyal,pers,premium,151,22,98829366
29368,F,58,Upper Age,loyal,biz,premium,264,0,98829369
29369,F,69,Elder,loyal,pers,premium,120,35,98829370
29370,F,69,Elder,loyal,pers,premium,96,18,98829371
29372,M,20,Young Adult,loyal,pers,premium,194,36,98829373
29373,M,25,Young Adult,infrequent,biz,regular,133,0,98829374
29374,F,66,Elder,loyal,biz,regular,344,0,98829375
29376,M,48,Upper Age,loyal,biz,premium,90,6,98829377
29377,M,51,Upper Age,loyal,biz,regular,298,46,98829378
29379,F,44,Middle,loyal,biz,regular,120,32,98829380
29380,M,56,Upper Age,loyal,biz,premium,189,0,98829381
29383,M,29,Young Adult,loyal,pers,regular,219,3,98829384
29384,F,20,Young Adult,loyal,pers,regular,199,0,98829385
29385,M,39,Middle,loyal,pers,premium,159,14,98829386
29386,F,31,Middle,loyal,biz,premium,336,0,98829387
29387,M,34,Middle,loyal,biz,premium,364,47,98829388
29388,M,24,Young Adult,infrequent,biz,regular,226,0,98829389
29389,M,59,Upper Age,loyal,pers,regular,168,42,98829390
29395,M,42,Middle,loyal,biz,premium,148,3,98829396
29399,M,48,Upper Age,loyal,pers,premium,200,0,98829400
29401,M,28,Young Adult,loyal,pers,premium,201,2,98829402
29407,M,41,Middle,loyal,pers,premium,232,6,98829408
29411,F,45,Middle,loyal,pers,regular,54,55,98829412
29413,F,30,Middle,loyal,biz,regular,187,0,98829414
29416,F,32,Middle,loyal,biz,premium,332,61,98829417
29419,M,57,Upper Age,loyal,pers,regular,180,0,98829420
29420,M,56,Upper Age,loyal,biz,regular,184,0,98829421
29423,F,43,Middle,loyal,biz,regular,89,0,98829424
29427,F,58,Upper Age,loyal,pers,premium,73,0,98829428
29429,F,34,Middle,loyal,pers,premium,275,0,98829430
29430,M,34,Middle,loyal,biz,premium,389,8,98829431
29433,F,39,Middle,loyal,biz,regular,201,13,98829434
29434,M,35,Middle,infrequent,biz,regular,133,0,98829435
29435,M,35,Middle,loyal,pers,premium,210,23,98829436
29440,M,52,Upper Age,loyal,pers,premium,194,0,98829441
29442,M,30,Middle,loyal,biz,regular,304,9,98829443
29443,M,22,Young Adult,loyal,biz,regular,246,0,98829444
29444,F,28,Young Adult,infrequent,biz,regular,155,0,98829445
29445,M,48,Upper Age,loyal,biz,premium,312,0,98829446
29447,M,44,Middle,loyal,biz,regular,164,7,98829448
29448,M,43,Middle,loyal,pers,regular,224,0,98829449
29450,M,32,Middle,loyal,biz,premium,332,10,98829451
29452,M,31,Middle,loyal,pers,regular,141,0,98829453
29453,F,48,Upper Age,loyal,biz,regular,340,0,98829454
29454,M,37,Middle,loyal,biz,regular,148,6,98829455
29455,F,25,Young Adult,loyal,pers,premium,151,29,98829456
29456,M,59,Upper Age,loyal,biz,premium,202,27,98829457
29459,F,39,Middle,infrequent,biz,premium,214,1,98829460
29460,F,24,Young Adult,loyal,biz,regular,310,2,98829461
29463,F,22,Young Adult,infrequent,biz,regular,181,4,98829464
29464,F,39,Middle,loyal,biz,regular,231,0,98829465
29465,F,26,Young Adult,loyal,pers,premium,210,113,98829466
29466,M,27,Young Adult,loyal,biz,premium,535,0,98829467
29467,F,35,Middle,loyal,biz,regular,160,43,98829468
29468,F,52,Upper Age,loyal,biz,regular,162,42,98829469
29469,M,55,Upper Age,loyal,pers,regular,158,9,98829470
29471,F,28,Young Adult,infrequent,biz,premium,136,0,98829472
29472,F,38,Middle,loyal,biz,regular,163,6,98829473
29473,M,33,Middle,loyal,pers,premium,230,44,98829474
29478,M,50,Upper Age,loyal,pers,premium,282,37,98829479
29479,F,50,Upper Age,loyal,biz,premium,195,0,98829480
29480,M,47,Upper Age,loyal,biz,premium,349,1,98829481
29483,M,61,Elder,loyal,pers,premium,175,0,98829484
29485,M,32,Middle,loyal,biz,regular,173,0,98829486
29486,F,30,Middle,loyal,biz,premium,527,27,98829487
29487,F,38,Middle,infrequent,biz,regular,140,0,98829488
29491,F,61,Elder,loyal,pers,premium,143,0,98829492
29492,F,36,Middle,loyal,biz,regular,323,0,98829493
29495,F,23,Young Adult,loyal,biz,premium,147,2,98829496
29498,M,26,Young Adult,infrequent,biz,premium,149,0,98829499
29502,F,26,Young Adult,loyal,biz,regular,170,0,98829503
29503,F,48,Upper Age,loyal,biz,premium,74,19,98829504
29504,F,35,Middle,loyal,biz,regular,204,0,98829505
29508,F,52,Upper Age,loyal,biz,premium,113,15,98829509
29510,M,49,Upper Age,loyal,biz,regular,238,0,98829511
29511,M,57,Upper Age,loyal,pers,premium,139,14,98829512
29513,F,49,Upper Age,loyal,biz,regular,352,0,98829514
29514,F,53,Upper Age,loyal,biz,premium,141,0,98829515
29517,M,31,Middle,loyal,biz,regular,398,0,98829518
29518,F,61,Elder,loyal,pers,premium,60,0,98829519
29519,F,43,Middle,loyal,biz,regular,222,88,98829520
29521,F,55,Upper Age,loyal,biz,regular,389,81,98829522
29522,M,38,Middle,loyal,biz,regular,204,0,98829523
29525,F,40,Middle,loyal,biz,premium,164,0,98829526
29526,F,34,Middle,loyal,biz,regular,60,0,98829527
29527,M,56,Upper Age,loyal,biz,regular,68,0,98829528
29528,M,21,Young Adult,infrequent,biz,premium,241,0,98829529
29533,M,25,Young Adult,loyal,biz,regular,452,87,98829534
29535,M,58,Upper Age,loyal,biz,premium,91,4,98829536
29537,F,25,Young Adult,loyal,pers,regular,118,26,98829538
29538,M,23,Young Adult,infrequent,biz,premium,243,0,98829539
29540,F,57,Upper Age,loyal,biz,premium,347,0,98829541
29541,F,35,Middle,loyal,biz,premium,288,0,98829542
29542,M,37,Middle,loyal,pers,premium,136,0,98829543
29548,F,49,Upper Age,loyal,biz,regular,257,106,98829549
29549,F,45,Middle,loyal,biz,premium,153,0,98829550
29550,M,40,Middle,loyal,biz,regular,393,0,98829551
29551,M,40,Middle,loyal,biz,regular,201,171,98829552
29552,M,62,Elder,loyal,biz,regular,198,0,98829553
29553,F,51,Upper Age,loyal,pers,regular,252,7,98829554
29554,M,38,Middle,loyal,biz,premium,257,3,98829555
29555,M,53,Upper Age,loyal,biz,premium,335,0,98829556
29557,F,27,Young Adult,loyal,biz,premium,277,61,98829558
29558,F,30,Middle,infrequent,biz,premium,209,0,98829559
29560,M,48,Upper Age,loyal,pers,premium,300,3,98829561
29562,M,61,Elder,loyal,biz,regular,158,17,98829563
29564,F,45,Middle,loyal,biz,premium,100,64,98829565
29565,F,33,Middle,loyal,biz,premium,254,0,98829566
29569,F,37,Middle,loyal,biz,premium,184,0,98829570
29570,M,26,Young Adult,infrequent,biz,regular,207,5,98829571
29571,F,28,Young Adult,loyal,pers,premium,260,7,98829572
29572,M,34,Middle,infrequent,biz,premium,127,1,98829573
29575,M,47,Upper Age,loyal,biz,premium,223,108,98829576
29578,F,39,Middle,loyal,biz,regular,122,1,98829579
29579,F,34,Middle,loyal,biz,regular,186,48,98829580
29582,M,24,Young Adult,infrequent,biz,regular,136,188,98829583
29583,M,33,Middle,loyal,pers,premium,140,7,98829584
29588,M,41,Middle,loyal,pers,regular,243,5,98829589
29592,M,59,Upper Age,loyal,biz,premium,166,14,98829593
29594,M,50,Upper Age,loyal,biz,regular,129,30,98829595
29595,F,22,Young Adult,infrequent,biz,regular,85,0,98829596
29597,M,53,Upper Age,loyal,biz,premium,172,0,98829598
29599,F,40,Middle,loyal,biz,premium,194,6,98829600
29600,F,43,Middle,infrequent,biz,regular,124,6,98829601
29602,M,50,Upper Age,loyal,pers,premium,240,0,98829603
29603,F,51,Upper Age,loyal,pers,premium,373,0,98829604
29604,M,49,Upper Age,loyal,biz,premium,363,49,98829605
29605,F,58,Upper Age,loyal,biz,premium,304,0,98829606
29607,F,63,Elder,loyal,biz,regular,285,94,98829608
29609,M,40,Middle,loyal,biz,regular,157,7,98829610
29610,M,68,Elder,loyal,pers,regular,186,0,98829611
29612,F,60,Elder,loyal,biz,regular,110,0,98829613
29613,F,25,Young Adult,infrequent,biz,regular,261,0,98829614
29615,M,23,Young Adult,loyal,biz,regular,162,0,98829616
29618,F,53,Upper Age,loyal,biz,regular,351,10,98829619
29619,F,24,Young Adult,loyal,biz,premium,109,0,98829620
29621,F,57,Upper Age,loyal,biz,premium,256,0,98829622
29622,M,42,Middle,loyal,biz,premium,355,0,98829623
29623,F,38,Middle,loyal,pers,premium,135,0,98829624
29624,F,43,Middle,loyal,biz,regular,199,0,98829625
29625,F,33,Middle,infrequent,biz,premium,163,14,98829626
29627,M,42,Middle,loyal,pers,regular,162,0,98829628
29629,F,36,Middle,loyal,pers,regular,262,19,98829630
29630,F,41,Middle,loyal,pers,premium,221,28,98829631
29631,M,24,Young Adult,loyal,biz,premium,174,0,98829632
29638,M,48,Upper Age,loyal,biz,premium,301,0,98829639
29639,F,59,Upper Age,infrequent,biz,premium,182,93,98829640
29641,M,50,Upper Age,loyal,biz,premium,114,5,98829642
29644,M,52,Upper Age,loyal,biz,premium,203,111,98829645
29645,F,54,Upper Age,loyal,biz,regular,56,1,98829646
29646,M,56,Upper Age,loyal,pers,regular,150,20,98829647
29647,M,41,Middle,loyal,biz,regular,328,0,98829648
29649,F,33,Middle,loyal,pers,regular,134,1,98829650
29654,M,64,Elder,loyal,biz,regular,170,0,98829655
29655,M,25,Young Adult,loyal,pers,regular,171,56,98829656
29656,F,72,Elder,loyal,biz,premium,59,2,98829657
29657,M,47,Upper Age,loyal,biz,regular,86,2,98829658
29658,M,48,Upper Age,loyal,biz,regular,386,70,98829659
29659,F,29,Young Adult,loyal,biz,premium,198,0,98829660
29661,F,22,Young Adult,infrequent,biz,premium,162,0,98829662
29662,M,37,Middle,loyal,biz,regular,236,9,98829663
29664,F,33,Middle,loyal,biz,premium,246,11,98829665
29666,F,69,Elder,loyal,pers,regular,231,0,98829667
29667,M,40,Middle,loyal,pers,premium,165,51,98829668
29671,F,67,Elder,loyal,biz,premium,378,69,98829672
29673,M,64,Elder,loyal,pers,regular,291,0,98829674
29675,F,34,Middle,infrequent,biz,regular,181,0,98829676
29676,F,43,Middle,loyal,biz,premium,164,2,98829677
29677,M,35,Middle,loyal,pers,regular,103,4,98829678
29678,M,63,Elder,loyal,pers,premium,140,6,98829679
29679,F,30,Middle,loyal,pers,premium,125,0,98829680
29680,M,21,Young Adult,infrequent,biz,premium,192,0,98829681
29682,M,57,Upper Age,infrequent,biz,premium,159,60,98829683
29685,F,60,Elder,loyal,biz,regular,127,0,98829686
29686,F,49,Upper Age,loyal,biz,premium,284,0,98829687
29690,F,36,Middle,infrequent,biz,premium,190,22,98829691
29692,M,71,Elder,loyal,biz,regular,209,76,98829693
29693,M,32,Middle,loyal,pers,premium,245,0,98829694
29696,F,52,Upper Age,loyal,biz,regular,104,0,98829697
29697,M,49,Upper Age,loyal,biz,regular,202,58,98829698
29700,F,54,Upper Age,loyal,biz,premium,87,0,98829701
29702,M,18,Young Adult,loyal,pers,premium,320,1,98829703
29704,M,57,Upper Age,loyal,biz,regular,61,9,98829705
29708,F,51,Upper Age,loyal,biz,premium,142,46,98829709
29709,M,48,Upper Age,loyal,pers,premium,148,0,98829710
29711,F,45,Middle,infrequent,biz,premium,172,8,98829712
29713,F,26,Young Adult,infrequent,biz,regular,190,0,98829714
29715,M,52,Upper Age,loyal,biz,regular,139,6,98829716
29719,M,42,Middle,loyal,pers,premium,119,29,98829720
29720,F,20,Young Adult,infrequent,biz,premium,263,0,98829721
29721,F,57,Upper Age,loyal,biz,regular,204,0,98829722
29724,F,31,Middle,loyal,pers,regular,199,0,98829725
29728,F,31,Middle,loyal,pers,premium,197,0,98829729
29729,M,31,Middle,loyal,biz,regular,167,21,98829730
29730,M,23,Young Adult,infrequent,biz,premium,224,0,98829731
29732,M,56,Upper Age,loyal,biz,regular,317,8,98829733
29734,M,40,Middle,loyal,biz,regular,381,143,98829735
29737,F,30,Middle,infrequent,biz,regular,192,0,98829738
29738,F,58,Upper Age,loyal,biz,regular,181,0,98829739
29739,M,26,Young Adult,infrequent,biz,premium,157,8,98829740
29742,F,43,Middle,loyal,biz,regular,355,37,98829743
29744,F,57,Upper Age,loyal,pers,premium,79,0,98829745
29746,M,46,Upper Age,loyal,biz,premium,149,0,98829747
29748,F,55,Upper Age,loyal,biz,regular,189,0,98829749
29749,M,20,Young Adult,infrequent,biz,regular,215,62,98829750
29750,F,46,Upper Age,loyal,biz,premium,242,0,98829751
29751,F,49,Upper Age,loyal,biz,premium,60,16,98829752
29753,M,51,Upper Age,loyal,biz,regular,133,0,98829754
29754,F,29,Young Adult,loyal,biz,premium,406,18,98829755
29758,M,19,Young Adult,loyal,biz,premium,170,0,98829759
29761,F,49,Upper Age,loyal,pers,regular,82,0,98829762
29762,M,44,Middle,loyal,pers,regular,140,0,98829763
29763,F,37,Middle,loyal,biz,premium,354,0,98829764
29764,F,33,Middle,loyal,pers,premium,190,61,98829765
29766,F,44,Middle,loyal,biz,premium,237,18,98829767
29767,M,28,Young Adult,loyal,biz,premium,116,73,98829768
29769,M,36,Middle,infrequent,biz,premium,215,24,98829770
29773,M,38,Middle,infrequent,biz,premium,150,0,98829774
29775,M,58,Upper Age,infrequent,biz,regular,129,11,98829776
29777,M,48,Upper Age,loyal,biz,premium,259,0,98829778
29779,F,37,Middle,loyal,biz,regular,56,0,98829780
29780,M,34,Middle,loyal,biz,premium,210,21,98829781
29781,M,60,Elder,loyal,biz,regular,124,104,98829782
29782,F,22,Young Adult,loyal,biz,regular,341,0,98829783
29783,F,50,Upper Age,loyal,biz,regular,226,7,98829784
29785,M,27,Young Adult,loyal,pers,regular,163,18,98829786
29786,M,31,Middle,loyal,biz,regular,377,152,98829787
29787,F,60,Elder,loyal,biz,premium,77,0,98829788
29790,F,41,Middle,loyal,biz,regular,248,0,98829791
29791,F,36,Middle,infrequent,biz,regular,230,5,98829792
29792,F,62,Elder,loyal,pers,premium,102,0,98829793
29795,F,54,Upper Age,infrequent,biz,premium,186,0,98829796
29799,M,38,Middle,loyal,biz,premium,184,0,98829800
29800,F,57,Upper Age,loyal,biz,regular,64,60,98829801
29803,M,67,Elder,loyal,biz,premium,347,1,98829804
29804,M,32,Middle,loyal,biz,regular,250,71,98829805
29805,F,51,Upper Age,loyal,biz,premium,66,132,98829806
29809,F,54,Upper Age,loyal,biz,premium,397,0,98829810
29811,M,25,Young Adult,loyal,biz,premium,319,32,98829812
29812,M,54,Upper Age,loyal,biz,premium,163,0,98829813
29817,F,28,Young Adult,infrequent,biz,regular,164,1,98829818
29818,M,36,Middle,loyal,biz,premium,70,26,98829819
29820,M,64,Elder,loyal,pers,regular,288,0,98829821
29823,M,38,Middle,infrequent,biz,regular,128,0,98829824
29825,F,24,Young Adult,loyal,biz,premium,138,0,98829826
29826,M,50,Upper Age,loyal,pers,regular,177,229,98829827
29827,M,48,Upper Age,loyal,biz,premium,193,0,98829828
29828,F,53,Upper Age,loyal,pers,regular,167,6,98829829
29830,M,38,Middle,loyal,pers,premium,349,0,98829831
29831,M,36,Middle,loyal,biz,premium,347,0,98829832
29834,F,62,Elder,loyal,pers,premium,132,41,98829835
29838,M,21,Young Adult,loyal,pers,premium,190,23,98829839
29839,F,50,Upper Age,loyal,biz,premium,85,0,98829840
29842,F,70,Elder,loyal,pers,regular,127,0,98829843
29844,F,25,Young Adult,infrequent,biz,regular,301,0,98829845
29845,M,39,Middle,loyal,biz,premium,170,27,98829846
29849,M,49,Upper Age,loyal,biz,regular,204,1,98829850
29850,M,26,Young Adult,loyal,biz,regular,443,6,98829851
29854,F,42,Middle,loyal,biz,premium,331,0,98829855
29856,M,43,Middle,loyal,biz,premium,64,70,98829857
29858,F,52,Upper Age,loyal,biz,regular,101,52,98829859
29859,F,18,Young Adult,loyal,biz,premium,307,64,98829860
29860,F,42,Middle,loyal,pers,regular,140,1,98829861
29862,F,41,Middle,loyal,biz,regular,283,0,98829863
29867,F,22,Young Adult,infrequent,biz,regular,180,0,98829868
29871,M,61,Elder,loyal,biz,premium,264,0,98829872
29873,F,27,Young Adult,loyal,biz,premium,287,0,98829874
29874,F,57,Upper Age,loyal,biz,regular,61,36,98829875
29877,M,28,Young Adult,loyal,biz,regular,376,7,98829878
29878,M,23,Young Adult,infrequent,biz,regular,174,0,98829879
29879,F,23,Young Adult,loyal,biz,premium,369,2,98829880
29880,F,22,Young Adult,infrequent,biz,premium,202,0,98829881
29884,F,38,Middle,loyal,biz,regular,91,3,98829885
29885,M,35,Middle,infrequent,biz,premium,258,0,98829886
29887,F,23,Young Adult,loyal,pers,premium,214,15,98829888
29888,M,62,Elder,loyal,biz,premium,347,6,98829889
29889,M,25,Young Adult,loyal,pers,premium,196,1,98829890
29890,M,39,Middle,loyal,biz,regular,176,2,98829891
29892,M,45,Middle,loyal,biz,premium,364,74,98829893
29894,F,31,Middle,loyal,pers,premium,207,5,98829895
29895,F,49,Upper Age,loyal,pers,regular,64,0,98829896
29896,F,23,Young Adult,infrequent,biz,premium,180,0,98829897
29898,M,60,Elder,loyal,pers,premium,237,0,98829899
29900,F,23,Young Adult,infrequent,biz,regular,190,4,98829901
29901,F,33,Middle,loyal,pers,premium,163,65,98829902
29902,M,29,Young Adult,infrequent,biz,regular,177,0,98829903
29903,M,45,Middle,loyal,biz,premium,157,230,98829904
29911,F,46,Upper Age,loyal,biz,regular,115,0,98829912
29916,M,27,Young Adult,loyal,pers,premium,194,2,98829917
29918,F,36,Middle,infrequent,biz,premium,193,0,98829919
29920,F,25,Young Adult,infrequent,biz,premium,265,0,98829921
29921,F,42,Middle,loyal,biz,regular,98,0,98829922
29922,M,60,Elder,loyal,pers,regular,160,0,98829923
29923,M,70,Elder,loyal,pers,premium,240,0,98829924
29924,M,32,Middle,infrequent,biz,premium,187,0,98829925
29926,F,23,Young Adult,loyal,pers,premium,366,55,98829927
29927,F,30,Middle,infrequent,biz,premium,208,0,98829928
29932,M,25,Young Adult,infrequent,biz,premium,292,0,98829933
29934,F,27,Young Adult,loyal,pers,premium,238,0,98829935
29935,F,25,Young Adult,loyal,pers,premium,202,6,98829936
29937,F,33,Middle,loyal,biz,premium,400,5,98829938
29938,F,36,Middle,loyal,biz,premium,191,0,98829939
29943,F,23,Young Adult,loyal,pers,premium,116,66,98829944
29948,F,37,Middle,infrequent,biz,premium,234,1,98829949
29949,F,22,Young Adult,infrequent,biz,regular,192,8,98829950
29953,F,54,Upper Age,loyal,biz,premium,50,100,98829954
29955,M,67,Elder,loyal,pers,regular,159,0,98829956
