,Satisfied,Seat_Comfort,Catering,Online_Support,Cleanliness,Catering,Onboard_Service,num_sat
21559,no,Poor,Poor,Good,Good,Poor,Good,0
21560,yes,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
21563,no,Poor,Poor,Acceptable,Good,Poor,Good,0
21564,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
21569,yes,Good,Good,Good,Poor,Good,Poor,1
21577,yes,Poor,Poor,Good,Good,Poor,Good,1
21578,no,Poor,Poor,Acceptable,Good,Poor,Poor,0
21579,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
21580,no,Poor,Good,Poor,Acceptable,Good,Poor,0
21583,no,Good,Good,Good,Good,Good,Good,0
21585,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
21591,yes,Good,Good,Acceptable,Good,Good,Acceptable,1
21592,no,Good,Poor,Good,Poor,Poor,Good,0
21595,yes,Good,Good,Good,Good,Good,Good,1
21597,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21601,no,Acceptable,Good,Acceptable,Good,Good,Good,0
21603,no,Good,Good,Poor,Good,Good,Acceptable,0
21607,yes,Good,Good,Good,Good,Good,Good,1
21609,yes,Poor,Poor,Good,Good,Poor,Good,1
21611,no,Poor,Poor,Good,Good,Poor,Good,0
21612,no,Poor,Poor,Poor,Good,Poor,Good,0
21616,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
21623,yes,Good,Good,Good,Good,Good,Good,1
21625,no,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,0
21628,no,Poor,Poor,Poor,Good,Poor,Good,0
21630,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
21633,yes,Poor,Poor,Good,Good,Poor,Good,1
21634,yes,Poor,Poor,Poor,Good,Poor,Acceptable,1
21636,yes,Good,Good,Good,Poor,Good,Good,1
21637,no,Poor,Good,Good,Poor,Good,Poor,0
21639,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
21645,yes,Acceptable,Acceptable,Acceptable,Good,Acceptable,Good,1
21646,no,Good,Good,Good,Acceptable,Good,Acceptable,0
21647,yes,Good,Good,Good,Good,Good,Good,1
21658,no,Poor,Poor,Poor,Good,Poor,Good,0
21660,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
21665,yes,Good,Good,Good,Good,Good,Good,1
21666,yes,Poor,Poor,Poor,Good,Poor,Good,1
21668,yes,Good,Good,Good,Good,Good,Good,1
21669,no,Poor,Good,Poor,Acceptable,Good,Poor,0
21673,no,Poor,Poor,Poor,Good,Poor,Good,0
21675,no,Poor,Poor,Good,Good,Poor,Good,0
21678,yes,Good,Good,Good,Good,Good,Good,1
21680,no,Poor,Poor,Good,Poor,Poor,Acceptable,0
21681,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21682,yes,Poor,Poor,Good,Good,Poor,Good,1
21683,yes,Acceptable,Good,Good,Acceptable,Good,Acceptable,1
21685,yes,Good,Good,Good,Acceptable,Good,Good,1
21689,yes,Good,Good,Poor,Good,Good,Good,1
21692,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21704,yes,Poor,Poor,Good,Good,Poor,Good,1
21705,yes,Poor,Good,Poor,Good,Good,Good,1
21708,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
21712,yes,Poor,Poor,Good,Poor,Poor,Good,1
21713,yes,Good,Good,Good,Poor,Good,Good,1
21714,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
21717,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21719,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
21720,no,Good,Good,Poor,Acceptable,Good,Poor,0
21723,yes,Good,Good,Poor,Good,Good,Acceptable,1
21724,no,Poor,Poor,Good,Poor,Poor,Good,0
21725,yes,Poor,Poor,Good,Good,Poor,Good,1
21726,yes,Good,Good,Good,Poor,Good,Poor,1
21731,no,Poor,Good,Acceptable,Good,Good,Good,0
21732,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,0
21734,no,Poor,Poor,Poor,Good,Poor,Good,0
21735,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
21736,yes,Good,Good,Good,Good,Good,Good,1
21740,yes,Good,Good,Poor,Good,Good,Good,1
21741,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
21743,no,Good,Good,Poor,Good,Good,Good,0
21746,yes,Poor,Poor,Poor,Good,Poor,Good,1
21747,yes,Good,Good,Acceptable,Good,Good,Good,1
21748,yes,Poor,Poor,Good,Good,Poor,Good,1
21749,yes,Good,Good,Good,Good,Good,Good,1
21750,yes,Good,Good,Good,Good,Good,Acceptable,1
21751,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
21752,yes,Poor,Good,Good,Acceptable,Good,Acceptable,1
21754,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21755,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
21758,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
21767,yes,Poor,Poor,Good,Good,Poor,Good,1
21768,yes,Good,Good,Acceptable,Good,Good,Good,1
21771,no,Poor,Acceptable,Acceptable,Good,Acceptable,Poor,0
21772,yes,Poor,Poor,Good,Good,Poor,Good,1
21773,no,Good,Good,Poor,Good,Good,Good,0
21774,no,Good,Poor,Good,Good,Poor,Acceptable,0
21775,no,Acceptable,Good,Acceptable,Good,Good,Poor,0
21779,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
21783,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable,0
21786,yes,Good,Poor,Good,Good,Poor,Poor,1
21787,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,0
21788,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
21790,yes,Poor,Poor,Good,Good,Poor,Good,1
21792,yes,Acceptable,Poor,Good,Good,Poor,Acceptable,1
21793,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
21796,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
21798,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
21800,yes,Good,Good,Good,Good,Good,Good,1
21804,no,Poor,Good,Poor,Poor,Good,Poor,0
21806,yes,Good,Good,Good,Good,Good,Acceptable,1
21807,yes,Good,Acceptable,Good,Acceptable,Acceptable,Poor,1
21810,yes,Good,Good,Good,Good,Good,Acceptable,1
21811,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
21812,yes,Good,Good,Acceptable,Good,Good,Good,1
21813,yes,Poor,Poor,Poor,Good,Poor,Good,1
21814,yes,Good,Good,Good,Poor,Good,Poor,1
21815,no,Poor,Good,Poor,Good,Good,Good,0
21819,yes,Good,Good,Good,Poor,Good,Good,1
21820,no,Acceptable,Acceptable,Poor,Poor,Acceptable,Poor,0
21824,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21825,no,Poor,Poor,Good,Poor,Poor,Poor,0
21827,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
21828,no,Good,Good,Good,Good,Good,Good,0
21833,yes,Acceptable,Good,Good,Good,Good,Good,1
21835,yes,Poor,Poor,Good,Good,Poor,Good,1
21837,no,Good,Good,Good,Good,Good,Good,0
21838,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
21840,yes,Poor,Poor,Good,Good,Poor,Good,1
21847,yes,Poor,Good,Good,Good,Good,Good,1
21848,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
21849,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Poor,0
21850,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
21852,yes,Poor,Poor,Good,Good,Poor,Good,1
21855,no,Poor,Poor,Poor,Good,Poor,Poor,0
21856,yes,Poor,Poor,Good,Good,Poor,Good,1
21857,yes,Good,Poor,Good,Acceptable,Poor,Poor,1
21858,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
21861,yes,Good,Good,Good,Poor,Good,Poor,1
21863,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
21864,no,Poor,Good,Good,Poor,Good,Poor,0
21865,yes,Good,Good,Good,Good,Good,Good,1
21866,no,Acceptable,Poor,Good,Poor,Poor,Poor,0
21869,no,Poor,Poor,Poor,Good,Poor,Good,0
21870,yes,Good,Good,Acceptable,Good,Good,Good,1
21871,yes,Good,Good,Good,Poor,Good,Poor,1
21872,yes,Poor,Poor,Good,Poor,Poor,Poor,1
21877,no,Acceptable,Poor,Acceptable,Good,Poor,Acceptable,0
21878,yes,Poor,Poor,Good,Good,Poor,Good,1
21879,yes,Good,Good,Good,Good,Good,Good,1
21881,no,Poor,Good,Good,Poor,Good,Poor,0
21882,yes,Poor,Poor,Good,Good,Poor,Good,1
21883,yes,Good,Good,Poor,Good,Good,Good,1
21886,no,Poor,Good,Acceptable,Poor,Good,Poor,0
21889,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
21893,no,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,0
21896,no,Acceptable,Poor,Good,Good,Poor,Good,0
21899,yes,Poor,Poor,Good,Good,Poor,Good,1
21900,yes,Poor,Poor,Good,Poor,Poor,Poor,1
21901,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
21902,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21903,no,Good,Good,Poor,Good,Good,Acceptable,0
21905,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
21908,yes,Acceptable,Acceptable,Good,Poor,Acceptable,Good,1
21913,no,Good,Good,Good,Good,Good,Good,0
21914,yes,Poor,Poor,Good,Poor,Poor,Poor,1
21918,yes,Poor,Poor,Good,Good,Poor,Good,1
21919,yes,Good,Good,Poor,Good,Good,Good,1
21922,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21926,yes,Poor,Poor,Good,Good,Poor,Good,1
21934,yes,Good,Good,Good,Acceptable,Good,Poor,1
21937,no,Poor,Poor,Good,Poor,Poor,Poor,0
21940,yes,Poor,Poor,Poor,Good,Poor,Good,1
21941,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21942,no,Poor,Poor,Acceptable,Acceptable,Poor,Good,0
21944,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Good,0
21945,yes,Acceptable,Good,Acceptable,Poor,Good,Poor,1
21946,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
21947,no,Poor,Good,Poor,Good,Good,Acceptable,0
21949,yes,Good,Good,Good,Poor,Good,Good,1
21952,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
21954,yes,Poor,Poor,Good,Good,Poor,Good,1
21960,yes,Good,Good,Good,Good,Good,Good,1
21963,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
21966,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
21968,no,Acceptable,Good,Acceptable,Acceptable,Good,Good,0
21970,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
21972,no,Poor,Poor,Poor,Good,Poor,Good,0
21974,yes,Good,Good,Good,Good,Good,Good,1
21976,yes,Good,Good,Good,Acceptable,Good,Good,1
21977,no,Poor,Poor,Good,Good,Poor,Good,0
21978,no,Good,Good,Poor,Good,Good,Poor,0
21980,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
21989,no,Poor,Poor,Good,Good,Poor,Good,0
21991,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
21992,no,Good,Good,Good,Acceptable,Good,Poor,0
21994,yes,Poor,Poor,Good,Good,Poor,Good,1
21997,yes,Good,Good,Good,Good,Good,Good,1
21998,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
21999,no,Good,Good,Good,Good,Good,Poor,0
22000,no,Poor,Poor,Poor,Good,Poor,Good,0
22001,yes,Good,Poor,Good,Good,Poor,Good,1
22003,yes,Poor,Poor,Good,Good,Poor,Good,1
22009,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22010,yes,Good,Good,Good,Good,Good,Good,1
22011,yes,Good,Poor,Good,Good,Poor,Good,1
22012,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
22014,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,0
22015,yes,Acceptable,Good,Good,Good,Good,Good,1
22017,yes,Poor,Poor,Good,Good,Poor,Good,1
22019,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
22022,no,Acceptable,Poor,Good,Poor,Poor,Poor,0
22023,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22027,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
22029,yes,Poor,Poor,Good,Good,Poor,Good,1
22030,no,Acceptable,Poor,Good,Acceptable,Poor,Acceptable,0
22031,yes,Poor,Poor,Good,Good,Poor,Good,1
22032,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
22034,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
22035,yes,Good,Good,Good,Good,Good,Good,1
22036,no,Good,Good,Good,Good,Good,Acceptable,0
22039,yes,Acceptable,Poor,Good,Good,Poor,Good,1
22040,no,Acceptable,Good,Acceptable,Good,Good,Poor,0
22041,yes,Acceptable,Acceptable,Good,Poor,Acceptable,Acceptable,1
22043,yes,Poor,Poor,Good,Good,Poor,Good,1
22044,no,Acceptable,Poor,Acceptable,Good,Poor,Good,0
22046,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
22047,no,Acceptable,Good,Acceptable,Good,Good,Poor,0
22048,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22049,no,Good,Good,Good,Good,Good,Acceptable,0
22050,yes,Poor,Good,Good,Good,Good,Good,1
22052,no,Poor,Poor,Poor,Acceptable,Poor,Acceptable,0
22053,yes,Poor,Poor,Good,Good,Poor,Good,1
22058,no,Poor,Poor,Good,Good,Poor,Good,0
22059,yes,Poor,Poor,Poor,Good,Poor,Good,1
22060,yes,Good,Good,Poor,Good,Good,Acceptable,1
22063,yes,Good,Poor,Good,Good,Poor,Poor,1
22069,yes,Good,Acceptable,Good,Poor,Acceptable,Poor,1
22072,no,Poor,Good,Poor,Good,Good,Acceptable,0
22075,no,Poor,Poor,Poor,Good,Poor,Good,0
22076,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
22080,yes,Good,Good,Good,Good,Good,Good,1
22081,yes,Good,Good,Good,Good,Good,Good,1
22082,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,0
22083,no,Poor,Poor,Poor,Good,Poor,Poor,0
22084,no,Good,Good,Good,Good,Good,Good,0
22087,yes,Poor,Poor,Poor,Good,Poor,Good,1
22088,yes,Poor,Good,Good,Acceptable,Good,Acceptable,1
22092,no,Poor,Poor,Good,Good,Poor,Good,0
22093,no,Poor,Poor,Good,Good,Poor,Acceptable,0
22094,yes,Good,Good,Poor,Poor,Good,Good,1
22095,no,Acceptable,Acceptable,Good,Good,Acceptable,Poor,0
22100,yes,Good,Good,Acceptable,Acceptable,Good,Acceptable,1
22102,yes,Poor,Poor,Poor,Good,Poor,Good,1
22103,no,Poor,Poor,Poor,Good,Poor,Good,0
22104,yes,Acceptable,Good,Good,Good,Good,Poor,1
22105,yes,Poor,Poor,Poor,Poor,Poor,Good,1
22107,yes,Good,Good,Good,Good,Good,Acceptable,1
22109,no,Poor,Poor,Poor,Good,Poor,Good,0
22112,no,Poor,Acceptable,Acceptable,Poor,Acceptable,Poor,0
22113,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
22114,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22115,yes,Good,Good,Good,Poor,Good,Good,1
22116,yes,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,1
22117,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
22119,no,Good,Poor,Poor,Good,Poor,Poor,0
22120,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
22122,no,Poor,Acceptable,Acceptable,Poor,Acceptable,Poor,0
22123,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22124,yes,Poor,Poor,Acceptable,Good,Poor,Acceptable,1
22125,yes,Good,Good,Poor,Good,Good,Good,1
22126,yes,Poor,Poor,Good,Good,Poor,Poor,1
22128,yes,Good,Good,Good,Good,Good,Good,1
22130,yes,Good,Good,Good,Good,Good,Poor,1
22131,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
22132,no,Poor,Good,Poor,Good,Good,Poor,0
22139,yes,Poor,Poor,Acceptable,Good,Poor,Acceptable,1
22140,no,Good,Good,Good,Good,Good,Good,0
22143,no,Poor,Poor,Poor,Good,Poor,Poor,0
22147,no,Acceptable,Acceptable,Good,Poor,Acceptable,Good,0
22149,yes,Good,Good,Good,Good,Good,Poor,1
22150,no,Acceptable,Good,Acceptable,Poor,Good,Good,0
22153,yes,Good,Good,Good,Good,Good,Acceptable,1
22155,no,Good,Good,Good,Acceptable,Good,Good,0
22156,yes,Poor,Poor,Good,Good,Poor,Good,1
22157,no,Poor,Acceptable,Good,Poor,Acceptable,Poor,0
22161,yes,Good,Good,Good,Good,Good,Good,1
22162,no,Good,Poor,Good,Poor,Poor,Good,0
22164,no,Poor,Poor,Poor,Good,Poor,Good,0
22167,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
22170,no,Good,Good,Good,Good,Good,Acceptable,0
22171,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
22172,yes,Poor,Poor,Good,Good,Poor,Good,1
22175,yes,Good,Poor,Good,Poor,Poor,Poor,1
22177,no,Poor,Poor,Good,Acceptable,Poor,Acceptable,0
22178,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
22180,no,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Poor,0
22181,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
22184,no,Acceptable,Poor,Poor,Acceptable,Poor,Acceptable,0
22185,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
22187,yes,Good,Good,Good,Good,Good,Good,1
22188,yes,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
22189,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
22190,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
22192,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
22193,no,Poor,Good,Poor,Good,Good,Poor,0
22195,no,Poor,Poor,Good,Poor,Poor,Poor,0
22197,no,Acceptable,Acceptable,Poor,Good,Acceptable,Poor,0
22201,no,Good,Good,Good,Good,Good,Good,0
22202,no,Good,Good,Good,Good,Good,Good,0
22205,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
22206,no,Poor,Poor,Good,Good,Poor,Good,0
22207,yes,Poor,Good,Acceptable,Poor,Good,Acceptable,1
22209,yes,Poor,Poor,Good,Good,Poor,Good,1
22210,yes,Poor,Poor,Good,Good,Poor,Good,1
22214,yes,Good,Good,Good,Good,Good,Good,1
22215,no,Good,Good,Good,Good,Good,Good,0
22216,yes,Poor,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
22217,yes,Good,Good,Poor,Good,Good,Good,1
22218,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
22220,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
22224,yes,Good,Good,Good,Good,Good,Good,1
22225,yes,Good,Good,Good,Good,Good,Good,1
22226,yes,Poor,Poor,Good,Good,Poor,Good,1
22227,yes,Good,Good,Acceptable,Poor,Good,Poor,1
22229,yes,Good,Good,Poor,Acceptable,Good,Poor,1
22231,yes,Poor,Poor,Good,Good,Poor,Good,1
22235,yes,Good,Good,Poor,Good,Good,Good,1
22238,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22240,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
22242,no,Poor,Poor,Good,Good,Poor,Acceptable,0
22244,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
22245,no,Acceptable,Good,Good,Acceptable,Good,Good,0
22246,yes,Good,Good,Good,Good,Good,Good,1
22247,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Poor,0
22249,no,Poor,Good,Poor,Poor,Good,Poor,0
22250,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22251,no,Poor,Poor,Poor,Poor,Poor,Acceptable,0
22252,no,Good,Acceptable,Good,Good,Acceptable,Poor,0
22253,yes,Good,Good,Good,Poor,Good,Good,1
22254,yes,Good,Acceptable,Acceptable,Good,Acceptable,Poor,1
22258,yes,Good,Poor,Good,Good,Poor,Good,1
22259,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
22260,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
22262,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
22264,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
22265,yes,Poor,Poor,Good,Good,Poor,Good,1
22267,yes,Poor,Poor,Poor,Good,Poor,Good,1
22268,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
22269,no,Poor,Poor,Poor,Good,Poor,Good,0
22271,yes,Good,Poor,Good,Acceptable,Poor,Acceptable,1
22272,no,Good,Good,Good,Good,Good,Good,0
22274,yes,Poor,Poor,Good,Good,Poor,Good,1
22276,yes,Good,Good,Good,Good,Good,Good,1
22277,no,Acceptable,Poor,Good,Poor,Poor,Acceptable,0
22279,yes,Poor,Poor,Good,Good,Poor,Good,1
22280,yes,Poor,Poor,Good,Poor,Poor,Poor,1
22283,yes,Poor,Poor,Poor,Good,Poor,Good,1
22284,no,Poor,Good,Good,Poor,Good,Poor,0
22285,yes,Good,Good,Good,Acceptable,Good,Good,1
22286,yes,Good,Good,Good,Good,Good,Good,1
22288,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
22289,yes,Good,Good,Poor,Good,Good,Good,1
22290,no,Good,Acceptable,Good,Good,Acceptable,Poor,0
22291,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
22292,no,Poor,Poor,Good,Good,Poor,Acceptable,0
22294,yes,Good,Good,Poor,Good,Good,Poor,1
22295,no,Good,Good,Poor,Poor,Good,Poor,0
22296,yes,Poor,Poor,Good,Good,Poor,Good,1
22297,yes,Good,Good,Good,Good,Good,Good,1
22298,no,Good,Good,Acceptable,Good,Good,Good,0
22299,no,Poor,Poor,Acceptable,Good,Poor,Poor,0
22300,yes,Poor,Poor,Good,Good,Poor,Good,1
22302,yes,Good,Good,Good,Good,Good,Good,1
22304,no,Good,Good,Good,Good,Good,Good,0
22310,no,Poor,Good,Poor,Good,Good,Poor,0
22311,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22312,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
22314,yes,Poor,Poor,Good,Good,Poor,Good,1
22317,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
22318,no,Poor,Poor,Poor,Poor,Poor,Poor,0
22322,no,Acceptable,Good,Acceptable,Good,Good,Good,0
22323,yes,Good,Poor,Acceptable,Good,Poor,Good,1
22324,yes,Poor,Poor,Good,Good,Poor,Good,1
22326,yes,Good,Good,Good,Acceptable,Good,Good,1
22331,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22333,yes,Good,Good,Good,Good,Good,Good,1
22334,yes,Acceptable,Acceptable,Poor,Good,Acceptable,Good,1
22335,yes,Good,Good,Good,Good,Good,Good,1
22339,yes,Poor,Poor,Good,Good,Poor,Good,1
22347,no,Good,Good,Good,Good,Good,Acceptable,0
22349,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
22353,no,Good,Good,Good,Good,Good,Good,0
22354,yes,Good,Poor,Poor,Good,Poor,Good,1
22355,yes,Good,Good,Acceptable,Good,Good,Good,1
22357,no,Good,Good,Good,Acceptable,Good,Good,0
22358,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
22359,yes,Poor,Poor,Good,Good,Poor,Good,1
22365,no,Good,Good,Acceptable,Good,Good,Good,0
22366,yes,Poor,Poor,Good,Poor,Poor,Poor,1
22367,no,Poor,Good,Acceptable,Poor,Good,Poor,0
22371,yes,Poor,Poor,Good,Acceptable,Poor,Poor,1
22372,yes,Poor,Poor,Good,Poor,Poor,Poor,1
22373,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
22375,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
22376,yes,Poor,Poor,Good,Good,Poor,Good,1
22377,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
22378,yes,Good,Good,Good,Good,Good,Good,1
22379,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
22380,yes,Good,Good,Acceptable,Good,Good,Good,1
22381,yes,Poor,Poor,Acceptable,Good,Poor,Acceptable,1
22386,yes,Poor,Good,Good,Good,Good,Good,1
22387,yes,Good,Good,Good,Good,Good,Good,1
22388,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Acceptable,0
22392,no,Good,Good,Acceptable,Good,Good,Good,0
22393,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
22394,no,Poor,Poor,Acceptable,Good,Poor,Poor,0
22395,no,Poor,Poor,Poor,Good,Poor,Good,0
22396,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
22398,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
22400,yes,Poor,Poor,Good,Good,Poor,Good,1
22402,yes,Poor,Poor,Good,Good,Poor,Good,1
22403,yes,Good,Good,Good,Good,Good,Good,1
22404,yes,Good,Good,Good,Poor,Good,Poor,1
22406,no,Poor,Good,Acceptable,Poor,Good,Poor,0
22410,yes,Good,Good,Poor,Good,Good,Acceptable,1
22412,no,Poor,Poor,Poor,Good,Poor,Poor,0
22413,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22414,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
22415,no,Poor,Good,Poor,Poor,Good,Poor,0
22417,yes,Poor,Poor,Good,Good,Poor,Good,1
22419,no,Acceptable,Good,Poor,Good,Good,Acceptable,0
22420,no,Good,Good,Acceptable,Good,Good,Good,0
22423,no,Poor,Poor,Poor,Good,Poor,Poor,0
22424,yes,Good,Good,Good,Good,Good,Good,1
22429,yes,Poor,Poor,Good,Good,Poor,Good,1
22431,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
22432,no,Good,Good,Poor,Good,Good,Poor,0
22436,yes,Good,Good,Good,Good,Good,Acceptable,1
22437,no,Good,Good,Poor,Good,Good,Acceptable,0
22438,no,Good,Poor,Good,Good,Poor,Good,0
22439,yes,Poor,Poor,Poor,Good,Poor,Good,1
22440,yes,Good,Poor,Good,Acceptable,Poor,Acceptable,1
22442,no,Poor,Poor,Good,Acceptable,Poor,Acceptable,0
22444,no,Poor,Poor,Good,Good,Poor,Good,0
22446,no,Poor,Poor,Poor,Good,Poor,Good,0
22447,no,Poor,Poor,Acceptable,Acceptable,Poor,Acceptable,0
22451,no,Poor,Poor,Good,Good,Poor,Acceptable,0
22452,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
22453,yes,Good,Poor,Good,Good,Poor,Good,1
22454,no,Good,Good,Good,Acceptable,Good,Acceptable,0
22455,yes,Good,Good,Acceptable,Good,Good,Good,1
22458,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
22461,yes,Good,Good,Good,Good,Good,Good,1
22463,no,Poor,Good,Poor,Poor,Good,Poor,0
22466,yes,Good,Good,Good,Good,Good,Good,1
22467,no,Poor,Poor,Good,Good,Poor,Acceptable,0
22469,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
22470,yes,Poor,Poor,Good,Good,Poor,Good,1
22473,yes,Poor,Poor,Good,Good,Poor,Good,1
22474,yes,Poor,Good,Good,Good,Good,Good,1
22475,yes,Good,Good,Good,Acceptable,Good,Good,1
